index,class,comment_sentence,partition,combo,labels
1,Abfss.java,this impl delegates to the old filesystem,0,this impl delegates to the old filesystem | abfss java,"[0, 0, 1, 0, 0, 0, 0]"
589,KVStore.java,by the values of those properties,0,by the values of those properties | kvstore java,"[0, 0, 1, 0, 0, 0, 0]"
590,KVStore.java,this makes it possible to provide sorting without having,0,this makes it possible to provide sorting without having | kvstore java,"[0, 0, 1, 0, 0, 0, 0]"
591,KVStore.java,to load all instances of those types from the store,0,to load all instances of those types from the store | kvstore java,"[0, 0, 1, 0, 0, 0, 0]"
598,LocalDiskShuffleDataIO.java,storage and index file functionality that has historically been used from spark 24 and earlier,0,storage and index file functionality that has historically been used from spark 24 and earlier | localdiskshuffledataio java,"[1, 0, 0, 0, 0, 0, 0]"
599,MessageWithHeader.java,a wrapper message that holds two separate pieces a header and a body,0,a wrapper message that holds two separate pieces a header and a body | messagewithheader java,"[1, 0, 0, 0, 0, 0, 0]"
600,RemoveBlocks.java,request to remove a set of blocks,0,request to remove a set of blocks | removeblocks java,"[1, 0, 0, 0, 0, 0, 0]"
602,StreamHandle.java,message,0,message | streamhandle java,"[1, 0, 0, 0, 0, 0, 0]"
603,StreamHandle.java,this is used by link org apache spark network shuffle oneforoneblockfetcher,0,this is used by link org apache spark network shuffle oneforoneblockfetcher | streamhandle java,"[0, 0, 0, 0, 1, 0, 0]"
604,TBoolColumn.java,the set of fields this struct contains along with convenience methods for finding and manipulating them,0,the set of fields this struct contains along with convenience methods for finding and manipulating them | tboolcolumn java,"[1, 0, 0, 0, 0, 0, 0]"
606,UploadBlockStream.java,the actual block data is not contained here,0,the actual block data is not contained here | uploadblockstream java,"[0, 0, 1, 0, 0, 0, 0]"
607,UploadBlockStream.java,it will be passed to the streamcallbackwithid,0,it will be passed to the streamcallbackwithid | uploadblockstream java,"[0, 0, 1, 0, 0, 0, 0]"
608,UploadBlockStream.java,that is returned from rpchandler receivestream,0,that is returned from rpchandler receivestream | uploadblockstream java,"[0, 0, 1, 0, 0, 0, 0]"
611,AbstractCPropertyTab.java,in particular it allows to get current project,0,in particular it allows to get current project | abstractcpropertytab java,"[0, 0, 0, 0, 0, 0, 1]"
612,AbstractCPropertyTab.java,configuration etc see icpropertyprovider interface,0,configuration etc see icpropertyprovider interface | abstractcpropertytab java,"[0, 0, 0, 0, 0, 0, 1]"
614,AbstractCPropertyTab.java,and to handle their events see buttonpressed int,0,and to handle their events see buttonpressed int | abstractcpropertytab java,"[0, 0, 0, 0, 0, 0, 1]"
615,AbstractCPropertyTab.java,several utility methods to create widgets in the,0,several utility methods to create widgets in the | abstractcpropertytab java,"[0, 0, 0, 0, 0, 0, 1]"
616,AbstractCPropertyTab.java,uniform manner setuplabel setuptext etc,0,uniform manner setuplabel setuptext etc | abstractcpropertytab java,"[0, 0, 0, 0, 0, 0, 1]"
617,AbstractCPropertyTab.java,means to handle control messages which are the main,0,means to handle control messages which are the main | abstractcpropertytab java,"[0, 0, 0, 0, 0, 0, 1]"
620,AddBreakpointRulerAction.java,ruler action to add breakpoint with a dialog properties,0,ruler action to add breakpoint with a dialog properties | addbreakpointruleraction java,"[1, 0, 0, 0, 0, 0, 0]"
621,AddLineBreakpointActionDelegate.java,a delegate for the add line breakpoint action,0,a delegate for the add line breakpoint action | addlinebreakpointactiondelegate java,"[1, 0, 0, 0, 0, 0, 0]"
626,AddMemoryBlocks.java,since 32,0,since 32 | addmemoryblocks java,"[0, 0, 0, 0, 0, 1, 0]"
628,AllTemplateEngineTests.java,the test suite will execute all the testcases added to the suite,0,the test suite will execute all the testcases added to the suite | alltemplateenginetests java,"[0, 0, 1, 0, 0, 0, 0]"
636,C99BuildASTParserAction.java,author mike kucera,0,author mike kucera | c99buildastparseraction java,"[0, 1, 0, 0, 0, 0, 0]"
639,CConfigurationDescriptionCache.java,li initialization,0,li initialization | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
642,CConfigurationDescriptionCache.java,a new cconfigurationdescriptioncache is created,0,a new cconfigurationdescriptioncache is created | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
644,CConfigurationDescriptionCache.java,li any clients needed icconfigurationdescription get cconfigurationdescription using constructor,0,li any clients needed icconfigurationdescription get cconfigurationdescription using constructor | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
648,CConfigurationDescriptionCache.java,li fcfgcache is used to getspecsettings cconfigurationspecsettings after that fcfgcache is set to null,0,li fcfgcache is used to getspecsettings cconfigurationspecsettings after that fcfgcache is set to null | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
650,CConfigurationDescriptionCache.java,li user enters project properties settings,0,li user enters project properties settings | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
653,CConfigurationDescriptionCache.java,to the cconfigurationdescriptioncache,0,to the cconfigurationdescriptioncache | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
655,CConfigurationDescriptionCache.java,li user changes settings in the settings configuration cconfigurationdescription and saves it,0,li user changes settings in the settings configuration cconfigurationdescription and saves it | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
657,CConfigurationDescriptionCache.java,li new cconfigurationdescriptioncache is created from the cconfigurationdescription via constructor,0,li new cconfigurationdescriptioncache is created from the cconfigurationdescription via constructor | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
658,CConfigurationDescriptionCache.java,cconfigurationdescriptioncache icconfigurationdescription basedescription,0,cconfigurationdescriptioncache icconfigurationdescription basedescription | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
659,CConfigurationDescriptionCache.java,where,0,where | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
660,CConfigurationDescriptionCache.java,basedescription is saved as fbasedescription,0,basedescription is saved as fbasedescription | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
661,CConfigurationDescriptionCache.java,li cconfigurationdescriptioncache applydata,0,li cconfigurationdescriptioncache applydata | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
662,CConfigurationDescriptionCache.java,is used to persist the data,0,is used to persist the data | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 0, 0, 0]"
666,CConfigurationDescriptionCache.java,see icconfigurationdescription,0,see icconfigurationdescription | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 1, 0, 0]"
667,CConfigurationDescriptionCache.java,see cconfigurationdescription,0,see cconfigurationdescription | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 1, 0, 0]"
668,CConfigurationDescriptionCache.java,see cprojectdescriptionevent,0,see cprojectdescriptionevent | cconfigurationdescriptioncache java,"[0, 0, 0, 1, 1, 0, 0]"
669,CDebugModelPresentation.java,see idebugmodelpresentation,0,see idebugmodelpresentation | cdebugmodelpresentation java,"[0, 0, 0, 0, 1, 0, 0]"
670,CElementDelta.java,see icelementdelta,0,see icelementdelta | celementdelta java,"[0, 0, 0, 0, 1, 0, 0]"
675,ContainerTabModel.java,since 12 1,0,since 12 1 | containertabmodel java,"[0, 0, 0, 0, 0, 1, 0]"
678,CoreBuildGenericLaunchConfigProvider.java,since 83,0,since 83 | corebuildgenericlaunchconfigprovider java,"[0, 0, 0, 0, 0, 1, 0]"
679,CPPASTProblem.java,c specific implementation allows actions to visit the problem,0,c specific implementation allows actions to visit the problem | cppastproblem java,"[1, 0, 0, 0, 0, 0, 0]"
680,CPPASTReferenceOperator.java,reference operator for declarators,0,reference operator for declarators | cppastreferenceoperator java,"[1, 0, 0, 0, 0, 0, 0]"
681,CPPDeferredFunction.java,a compiler would resolve it during instantiation,0,a compiler would resolve it during instantiation | cppdeferredfunction java,"[0, 0, 1, 0, 0, 0, 0]"
682,CPPImplicitVariable.java,represents a variable implicitly created in c code,0,represents a variable implicitly created in c code | cppimplicitvariable java,"[1, 0, 0, 0, 0, 0, 0]"
684,CPPImplicitVariable.java,code auto first second decomposed code,0,code auto first second decomposed code | cppimplicitvariable java,"[0, 0, 0, 1, 0, 0, 0]"
685,CPPImplicitVariable.java,the code initializerevaluation code has to be supplied,0,the code initializerevaluation code has to be supplied | cppimplicitvariable java,"[0, 0, 0, 1, 0, 0, 0]"
686,CPropertyTester.java,a property tester that determines if a file is an executable or a c c project,0,a property tester that determines if a file is an executable or a c c project | cpropertytester java,"[1, 0, 0, 0, 0, 0, 0]"
687,CUIPreferenceInitializer.java,this class implements the setting of the cui initial preference store settings,0,this class implements the setting of the cui initial preference store settings | cuipreferenceinitializer java,"[1, 0, 0, 0, 0, 0, 0]"
689,DefaultEnvironmentContextInfo.java,the default implementation of the icontextinfo used by the environment variable provider,0,the default implementation of the icontextinfo used by the environment variable provider | defaultenvironmentcontextinfo java,"[1, 0, 0, 0, 0, 0, 0]"
690,DefaultEnvironmentContextInfo.java,used to represent the configuration project workspace and eclipse environment contexts,0,used to represent the configuration project workspace and eclipse environment contexts | defaultenvironmentcontextinfo java,"[0, 0, 0, 0, 0, 0, 1]"
694,DocCommentOwnerBlock.java,em this class is not intended for use outside of cdt em,0,em this class is not intended for use outside of cdt em | doccommentownerblock java,"[0, 0, 0, 1, 0, 0, 0]"
700,DummyPage.java,this class is just to replace a category reference in org eclipse cdt ui that we exclude because we do not bring in the org eclipse cdt managedbuild ui plug in,0,this class is just to replace a category reference in org eclipse cdt ui that we exclude because we do not bring in the org eclipse cdt managedbuild ui plug in | dummypage java,"[1, 0, 0, 0, 0, 0, 1]"
701,ElementNumberFormatsContribution.java,since 22,0,since 22 | elementnumberformatscontribution java,"[0, 0, 0, 0, 0, 1, 0]"
702,FindStdLibPath.java,the purpose is to find a path where stdc library is located,0,the purpose is to find a path where stdc library is located | findstdlibpath java,"[0, 0, 0, 0, 0, 0, 1]"
703,FindStdLibPath.java,currently the shell script is only for linux,0,currently the shell script is only for linux | findstdlibpath java,"[0, 0, 0, 1, 0, 0, 0]"
704,FoldingConfigurationBlock.java,configures c editor folding preferences,0,configures c editor folding preferences | foldingconfigurationblock java,"[1, 0, 0, 0, 0, 0, 0]"
706,FormattedValueTests.java,tests to verify the operation of formattedvaluesvmutil,0,tests to verify the operation of formattedvaluesvmutil | formattedvaluetests java,"[1, 0, 0, 0, 0, 0, 0]"
707,FormattedValueTests.java,since 22,0,since 22 | formattedvaluetests java,"[0, 0, 0, 0, 0, 1, 0]"
708,FormattedValueTests.java,helper class that stores some element paths and nodes using a certain format,0,helper class that stores some element paths and nodes using a certain format | formattedvaluetests java,"[0, 0, 1, 0, 0, 0, 0]"
711,GDBControl_7_12.java,need a new finallaunchsequence for gdb 712,0,need a new finallaunchsequence for gdb 712 | gdbcontrol 7 12 java,"[0, 0, 0, 0, 0, 1, 0]"
712,GDBControl_7_12.java,since 52,0,since 52 | gdbcontrol 7 12 java,"[0, 0, 0, 0, 0, 1, 0]"
715,GDBSourceLookup.java,default implementation of link igdbsourcelookup,0,default implementation of link igdbsourcelookup | gdbsourcelookup java,"[1, 0, 0, 0, 0, 0, 0]"
717,GnuMakefileGenerator.java,since 12,0,since 12 | gnumakefilegenerator java,"[0, 0, 0, 0, 0, 1, 0]"
720,GnuMakefileGenerator.java,imanagedbuildermakefilegenerator m e t h o d s,0,imanagedbuildermakefilegenerator m e t h o d s | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
722,GnuMakefileGenerator.java,m a i n makefile m a k e f i l e m e t h o d s,0,m a i n makefile m a k e f i l e m e t h o d s | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
728,GnuMakefileGenerator.java,c srcs,0,c srcs | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
730,GnuMakefileGenerator.java,r e s o u r c e v i s i t o r m e t h o d s,0,r e s o u r c e v i s i t o r m e t h o d s | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
733,GnuMakefileGenerator.java,windows drive letters and whitespace appropriately,0,windows drive letters and whitespace appropriately | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
735,GnuMakefileGenerator.java,the context these paths appear in is on the right hand side of a rule header,0,the context these paths appear in is on the right hand side of a rule header | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
741,GnuMakefileGenerator.java,throws nullpointerexception is path is null,0,throws nullpointerexception is path is null | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
743,GnuMakefileGenerator.java,what resources have been changed,0,what resources have been changed | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
747,GnuMakefileGenerator.java,have to be regenerated,0,have to be regenerated | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
749,GnuMakefileGenerator.java,itself,0,itself | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
750,GnuMakefileGenerator.java,we are relying on make to do the right things when confronted,0,we are relying on make to do the right things when confronted | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
752,GnuMakefileGenerator.java,that said make will treat,0,that said make will treat | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
753,GnuMakefileGenerator.java,the missing header file in a dependency rule as a target it has to build,0,the missing header file in a dependency rule as a target it has to build | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
754,GnuMakefileGenerator.java,unless told otherwise,0,unless told otherwise | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
758,GnuMakefileGenerator.java,imanagedbuildermakefilegenerator m e t h o d s,0,imanagedbuildermakefilegenerator m e t h o d s | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
760,GnuMakefileGenerator.java,m a i n makefile m a k e f i l e m e t h o d s,0,m a i n makefile m a k e f i l e m e t h o d s | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
764,GnuMakefileGenerator.java,adds a macro addition prefix to a map of macro names to entries,0,adds a macro addition prefix to a map of macro names to entries | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
766,GnuMakefileGenerator.java,c srcs,0,c srcs | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
768,GnuMakefileGenerator.java,r e s o u r c e v i s i t o r m e t h o d s,0,r e s o u r c e v i s i t o r m e t h o d s | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
771,GnuMakefileGenerator.java,windows drive letters and whitespace appropriately,0,windows drive letters and whitespace appropriately | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
773,GnuMakefileGenerator.java,the context these paths appear in is on the right hand side of a rule header,0,the context these paths appear in is on the right hand side of a rule header | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
781,GnuMakefileGenerator.java,this class is used to recursively walk the project and determine which,0,this class is used to recursively walk the project and determine which | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
782,GnuMakefileGenerator.java,modules contribute buildable source files,0,modules contribute buildable source files | gnumakefilegenerator java,"[0, 0, 0, 1, 0, 0, 0]"
788,ICLanguageSettingPathEntry.java,see interface hierarchy for more specifics,0,see interface hierarchy for more specifics | iclanguagesettingpathentry java,"[0, 0, 0, 0, 1, 0, 0]"
789,ICLibraryFileEntry.java,see link icsettingentry library file,0,see link icsettingentry library file | iclibraryfileentry java,"[0, 0, 0, 0, 1, 0, 0]"
791,ICodeReaderFactory.java,deprecated replaced by link includefilecontentprovider,0,deprecated replaced by link includefilecontentprovider | icodereaderfactory java,"[0, 0, 0, 0, 1, 1, 0]"
792,ICodeReaderFactory.java,noreference this interface is not intended to be referenced by clients,0,noreference this interface is not intended to be referenced by clients | icodereaderfactory java,"[0, 0, 0, 1, 0, 0, 0]"
802,ICPPASTVirtSpecifier.java,a virt specifier at the end of a function declaration,0,a virt specifier at the end of a function declaration | icppastvirtspecifier java,"[1, 0, 0, 0, 0, 0, 0]"
803,ICPPASTVirtSpecifier.java,there are two virt specifiers final and override,0,there are two virt specifiers final and override | icppastvirtspecifier java,"[0, 0, 1, 0, 0, 0, 0]"
808,ICSourceNotFoundDescription.java,an instance is usually provided by an adapter,0,an instance is usually provided by an adapter | icsourcenotfounddescription java,"[0, 0, 1, 0, 0, 0, 0]"
809,IDsfDebugServicesFactory.java,a factory to create dsf services,0,a factory to create dsf services | idsfdebugservicesfactory java,"[1, 0, 0, 0, 0, 0, 0]"
811,IGDBTraceControl.java,the tracecontrol service provides access to the debugger tracing functionality,0,the tracecontrol service provides access to the debugger tracing functionality | igdbtracecontrol java,"[1, 0, 0, 0, 0, 0, 0]"
814,IGDBTraceControl.java,gdb specific part,0,gdb specific part | igdbtracecontrol java,"[0, 0, 1, 0, 0, 0, 0]"
815,IGDBTraceControl.java,marker interface for a context on which trace operations can be performed,0,marker interface for a context on which trace operations can be performed | igdbtracecontrol java,"[0, 0, 1, 0, 0, 0, 0]"
816,IGDBTraceControl.java,gdb specific part,0,gdb specific part | igdbtracecontrol java,"[0, 0, 1, 0, 0, 0, 0]"
818,IGDBTraceControl.java,it describes tracing data,0,it describes tracing data | igdbtracecontrol java,"[0, 0, 1, 0, 0, 0, 0]"
819,IGDBTraceControl.java,gdb specific part,0,gdb specific part | igdbtracecontrol java,"[0, 0, 1, 0, 0, 0, 0]"
820,IGDBTraceControl.java,this is the model data interface that corresponds to itracerecorddmcontext,0,this is the model data interface that corresponds to itracerecorddmcontext | igdbtracecontrol java,"[0, 0, 1, 0, 0, 0, 0]"
821,IGDBTraceControl.java,gdb specific part,0,gdb specific part | igdbtracecontrol java,"[0, 0, 1, 0, 0, 0, 0]"
822,IGDBTraceControl.java,trace events,0,trace events | igdbtracecontrol java,"[0, 0, 1, 0, 0, 0, 0]"
823,IGDBTraceControl.java,gdb specific part since 44,0,gdb specific part since 44 | igdbtracecontrol java,"[0, 0, 1, 0, 0, 1, 0]"
829,IMIBackend.java,service for controlling the back end process,0,service for controlling the back end process | imibackend java,"[1, 0, 0, 0, 0, 0, 0]"
832,IMSASTDeclspecList.java,represents a microsoft attribute specifier introduced by declspec,0,represents a microsoft attribute specifier introduced by declspec | imsastdeclspeclist java,"[1, 0, 0, 0, 0, 0, 0]"
833,IMSASTDeclspecList.java,since 66,0,since 66 | imsastdeclspeclist java,"[0, 0, 0, 0, 0, 1, 0]"
836,INodeFactory.java,control flow graph node factory,0,control flow graph node factory | inodefactory java,"[1, 0, 0, 0, 0, 0, 0]"
839,IPropertyChangeParticipant.java,clients may implement this interface,0,clients may implement this interface | ipropertychangeparticipant java,"[0, 0, 0, 1, 0, 0, 0]"
841,IPropertyChangeParticipant.java,since 50,0,since 50 | ipropertychangeparticipant java,"[0, 0, 0, 0, 0, 1, 0]"
843,IRegisters2.java,service extension of iregisters to manage user defined register groups,0,service extension of iregisters to manage user defined register groups | iregisters2 java,"[1, 0, 0, 0, 0, 0, 0]"
844,IRegisters2.java,since 26,0,since 26 | iregisters2 java,"[0, 0, 0, 0, 0, 1, 0]"
849,ITestItem.java,represents status of the test item,0,represents status of the test item | itestitem java,"[1, 0, 0, 0, 0, 0, 0]"
852,LanguageSettingsProvidersSerializer.java,helper class handling serialization and notifications for language settings entries link iclanguagesettingentry,0,helper class handling serialization and notifications for language settings entries link iclanguagesettingentry | languagesettingsprovidersserializer java,"[1, 0, 0, 0, 0, 0, 0]"
862,MIAsyncErrorProcessor.java,in some cases gdb reports exec commands failure after the running event is fired,0,in some cases gdb reports exec commands failure after the running event is fired | miasyncerrorprocessor java,"[0, 0, 0, 0, 0, 0, 1]"
863,MIAsyncErrorProcessor.java,this class handles these type of situations by firing mierrorevent when such an error appears,0,this class handles these type of situations by firing mierrorevent when such an error appears | miasyncerrorprocessor java,"[1, 0, 0, 0, 0, 0, 0]"
864,MIAsyncErrorProcessor.java,since 53,0,since 53 | miasyncerrorprocessor java,"[0, 0, 0, 0, 0, 1, 0]"
869,MIBreakpointsSynchronizer.java,this would happen because it,0,this would happen because it | mibreakpointssynchronizer java,"[0, 0, 0, 0, 1, 0, 0]"
872,MIBreakpointsSynchronizer.java,that violated many assumptions in,0,that violated many assumptions in | mibreakpointssynchronizer java,"[0, 0, 0, 0, 1, 0, 0]"
876,MIBreakpointsSynchronizer.java,dsf as not requiring the normal synchronization primitives as everything is,0,dsf as not requiring the normal synchronization primitives as everything is | mibreakpointssynchronizer java,"[0, 0, 0, 0, 1, 0, 0]"
878,MIBreakpointsSynchronizer.java,to resolve this problem there is some code,0,to resolve this problem there is some code | mibreakpointssynchronizer java,"[0, 0, 0, 0, 1, 0, 0]"
879,MIBreakpointsSynchronizer.java,link queueevent breakpointevent that ensures each event is fully,0,link queueevent breakpointevent that ensures each event is fully | mibreakpointssynchronizer java,"[0, 0, 0, 0, 1, 0, 0]"
881,MIBreakpointsSynchronizer.java,since 42,0,since 42 | mibreakpointssynchronizer java,"[0, 0, 0, 0, 0, 1, 0]"
885,MIDataListRegisterNames.java,data list register names regno,0,data list register names regno | midatalistregisternames java,"[0, 0, 0, 1, 0, 0, 0]"
887,MIEnvironmentDirectory.java,environment directory r pathdir,0,environment directory r pathdir | mienvironmentdirectory java,"[0, 0, 0, 1, 0, 0, 0]"
888,MIEnvironmentDirectory.java,add directory pathdir to beginning of search path for source files,0,add directory pathdir to beginning of search path for source files | mienvironmentdirectory java,"[1, 0, 0, 0, 0, 0, 0]"
893,MIStack.java,class to track stack depth and debug frames for our internal cache,0,class to track stack depth and debug frames for our internal cache | mistack java,"[0, 0, 1, 0, 0, 0, 0]"
900,MIStack.java,stack info depth 2,0,stack info depth 2 | mistack java,"[0, 0, 0, 0, 0, 0, 1]"
906,MIStack.java,the same concept is applicable for the stack list frames command with different limits,0,the same concept is applicable for the stack list frames command with different limits | mistack java,"[0, 0, 0, 0, 0, 0, 1]"
911,MIStack.java,with data or with error,0,with data or with error | mistack java,"[0, 0, 0, 0, 0, 0, 1]"
913,MIStack.java,problem with that for mi gdb replies randomly sometimes with data sometimes with error,0,problem with that for mi gdb replies randomly sometimes with data sometimes with error | mistack java,"[0, 0, 0, 0, 0, 0, 1]"
914,MIStack.java,if we cache the valid data,0,if we cache the valid data | mistack java,"[0, 0, 0, 0, 0, 0, 1]"
916,MIStack.java,we don t cache errors,0,we don t cache errors | mistack java,"[0, 0, 0, 0, 0, 0, 1]"
922,MIThreadGroupAddedEvent.java,this can only be detected by gdb mi with gdb 72,0,this can only be detected by gdb mi with gdb 72 | mithreadgroupaddedevent java,"[0, 0, 0, 0, 0, 1, 0]"
923,MIThreadGroupAddedEvent.java,since 51,0,since 51 | mithreadgroupaddedevent java,"[0, 0, 0, 0, 0, 1, 0]"
925,MultiLaunchConfigurationTabGroup.java,tab group for launch group,0,tab group for launch group | multilaunchconfigurationtabgroup java,"[1, 0, 0, 0, 0, 0, 0]"
927,PDOMDependencyGenerator.java,author doug schaefer,0,author doug schaefer | pdomdependencygenerator java,"[0, 1, 0, 0, 0, 0, 0]"
930,PDOMMacroReferenceName.java,represents declarations definitions and references to bindings except for macros,0,represents declarations definitions and references to bindings except for macros | pdommacroreferencename java,"[1, 0, 0, 0, 0, 0, 0]"
932,ProcessLauncher.java,this class implements external process launching for internal builder,0,this class implements external process launching for internal builder | processlauncher java,"[1, 0, 0, 0, 0, 0, 0]"
934,ProcStatParser.java,see also http www linuxhowtos org system procstat htm,0,see also http www linuxhowtos org system procstat htm | procstatparser java,"[0, 0, 0, 0, 1, 0, 0]"
936,QtPDOMNameIndex.java,this is equivalent to the java type map string list pdomname,0,this is equivalent to the java type map string list pdomname | qtpdomnameindex java,"[0, 0, 1, 0, 0, 0, 0]"
937,RenameCSourceFolderChange.java,author ee4 graf ifs,0,author ee4 graf ifs | renamecsourcefolderchange java,"[0, 1, 0, 0, 0, 0, 0]"
938,ReturnCheckerTest.java,test for see returncheckertest class,0,test for see returncheckertest class | returncheckertest java,"[1, 0, 0, 0, 1, 0, 0]"
939,RulerColumnDescriptor.java,instances can be obtained from a link rulercolumnregistry,0,instances can be obtained from a link rulercolumnregistry | rulercolumndescriptor java,"[0, 0, 0, 1, 1, 0, 0]"
944,SourceLookupTest.java,tests that interaction with source lookups works as expected,0,tests that interaction with source lookups works as expected | sourcelookuptest java,"[1, 0, 0, 0, 0, 0, 0]"
948,SourceLookupTest.java,link basetestcase source path directory,0,link basetestcase source path directory | sourcelookuptest java,"[0, 0, 0, 1, 0, 0, 0]"
951,SourceLookupTest.java,the wild card in sourcelookup exe can be one of the following to cover the,0,the wild card in sourcelookup exe can be one of the following to cover the | sourcelookuptest java,"[0, 0, 0, 1, 0, 0, 0]"
953,SourceLookupTest.java,how the program was compiled,0,how the program was compiled | sourcelookuptest java,"[0, 0, 0, 1, 0, 0, 0]"
954,SourceLookupTest.java,each of these options produces different debug,0,each of these options produces different debug | sourcelookuptest java,"[0, 0, 0, 1, 0, 0, 0]"
955,SourceLookupTest.java,information about where to find the source file,0,information about where to find the source file | sourcelookuptest java,"[0, 0, 0, 1, 0, 0, 0]"
956,SourceLookupTest.java,see the makefile for more,0,see the makefile for more | sourcelookuptest java,"[0, 0, 0, 1, 1, 0, 0]"
957,SourceLookupTest.java,information,0,information | sourcelookuptest java,"[0, 0, 0, 1, 1, 0, 0]"
959,SourceLookupTest.java,li b ac b absolute and canonical path no,0,li b ac b absolute and canonical path no | sourcelookuptest java,"[0, 0, 0, 1, 0, 0, 0]"
967,SourceLookupTest.java,in path passed to gcc,0,in path passed to gcc | sourcelookuptest java,"[0, 0, 0, 1, 0, 0, 0]"
970,SourceLookupTest.java,in path passed to gcc,0,in path passed to gcc | sourcelookuptest java,"[0, 0, 0, 1, 0, 0, 0]"
973,SourceLookupTest.java,in addition there can also be a b dwarf2 b in the name,0,in addition there can also be a b dwarf2 b in the name | sourcelookuptest java,"[0, 0, 0, 0, 0, 1, 0]"
975,SourceLookupTest.java,designed to run with gdb 74 see comment in makefile for olddwarfflags,0,designed to run with gdb 74 see comment in makefile for olddwarfflags | sourcelookuptest java,"[0, 0, 0, 0, 0, 1, 0]"
978,SourceLookupTest.java,the result of the variations on compilation arguments means that some of the,0,the result of the variations on compilation arguments means that some of the | sourcelookuptest java,"[0, 0, 0, 1, 0, 1, 0]"
982,SourceLookupTest.java,others therefore the relevant tests use assumegdbversion methods to be,0,others therefore the relevant tests use assumegdbversion methods to be | sourcelookuptest java,"[0, 0, 0, 0, 0, 1, 0]"
983,SourceLookupTest.java,skipped when appropriate,0,skipped when appropriate | sourcelookuptest java,"[0, 0, 0, 0, 0, 1, 0]"
984,SpellEvent.java,spell event fired for words detected by a spell check iterator,0,spell event fired for words detected by a spell check iterator | spellevent java,"[1, 0, 0, 0, 0, 0, 0]"
985,StandardCElementLabelProvider.java,celementlabelprovider that respects settings from the appearance preference page,0,celementlabelprovider that respects settings from the appearance preference page | standardcelementlabelprovider java,"[1, 0, 0, 0, 0, 0, 0]"
986,StandardCElementLabelProvider.java,triggers a viewer update when a preference changes,0,triggers a viewer update when a preference changes | standardcelementlabelprovider java,"[0, 0, 1, 0, 0, 0, 0]"
988,StringDialogField.java,dialog field containing a label and a text control,0,dialog field containing a label and a text control | stringdialogfield java,"[1, 0, 0, 0, 0, 0, 0]"
989,ToggleDynamicPrintfAdapter.java,toggles a dynamic printf in a c c editor,0,toggles a dynamic printf in a c c editor | toggledynamicprintfadapter java,"[1, 0, 0, 0, 0, 0, 0]"
991,TracepointActionsPropertyPage.java,property page for tracepoint actions,0,property page for tracepoint actions | tracepointactionspropertypage java,"[1, 0, 0, 0, 0, 0, 0]"
992,TracepointActionsPropertyPage.java,since 21,0,since 21 | tracepointactionspropertypage java,"[0, 0, 0, 0, 0, 1, 0]"
